id,x,y,split,EUNIS_cls,EUNIS_label,bioclim_precipitation,bioclim_precipitation_of_driest_quarter,bioclim_precipitation_of_wettest_quarter,bioclim_maximum_temperature,bioclim_minimum_temperature,bioclim_mean_temperature_of_driest_quarter,bioclim_mean_temperature_of_wettest_quarter,bioclim_isothermality_,bioclim_temperature_seasonality_(standard_deviation_x100),bioclim_aridity_index,bioclim_evapotranspiration,lulc_arable_land_100,lulc_plantations_fields_and_crops_100,lulc_herbaceous_crops_100,lulc_woody_plant_crops_100,lulc_vineyards_100,lulc_meadows_100,lulc_wetlands_100,lulc_vegetated_shoreline_100,lulc_scree_100,lulc_roads_rails_paths_100,lulc_public_parks_100,lulc_high_altitude_grasslands_and_rough_pastures_100,lulc_herbaceous_crops_100,lulc_grasslands_and_meadows_100,lulc_glaciers_rocks_scree_and_moraines_100,lulc_buildings_100,lulc_arable_land_100,lulc_surroundings_of_blocks_of_flats_100,edaph_soil_moisture_25.,edaph_soil_ph_25.,edaph_phosphorus_load_25.,edaph_nitrogen_load_25.,edaph_soil_aeration_25.,edaph_soil_humus_25.,geol_massive_limestones,geol_gravel_and_sand_(glacial_deposit),lulc_glaciers_rocks_scree_and_moraines_100,lulc_screes_sand_100,lulc_scree_100,lulc_rock_slabs_and_limestone_pavement_100,lulc_rocks_100,lulc_cliffs_100,hydro_distance_to_lake_all,hydro_distance_to_river_all,pop_human_population_density_sum_100,trans_euclidean_distance_to_roads_all,vege_canopy_height_max_100,vege_coniferous_leaf_type_100,vege_deciduous_leaf_type_100,lulc_normal_dense_forest_100,lulc_forests_100
2563381_1124479,2563381,1124479,train,1,Surface running waters,-0.71679932,-0.49887853,-0.60252645,0.93644174,0.87777061,0.48524787,1.09384358,0.37501688,0.32945183,0.75560892,0.45608866,1.14352907,0.88565349,1.08906784,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.38872478,-0.12727095,-0.40987475,1.08906784,-1.20082524,-0.25396653,-0.04037779,1.14352907,-0.27241302,0.52860256,0.51982616,0.87408228,1.86770986,-0.69500713,-0.27597052,-0.36108193,-0.30100988,-0.25396653,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.72108476,-0.6662358,-0.32325152,-0.14285942,0.00090538,-0.33141544,0.11045466,-0.09004533,-0.2791263
2538616_1150754,2538616,1150754,train,0,Surface standing waters,-0.63555818,-0.47055742,-0.83083343,0.99221458,1.56545877,0.7652994,0.6760826,-2.13103357,0.55578625,0.97711101,0.89137187,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,1.51462754,6.47055999,-0.40987475,-0.37988202,-0.93035673,-0.33258322,-0.4880496,-0.40593677,-0.27241302,-0.13947951,0.37812536,-0.00955382,0.80246956,-0.16540842,-0.26685093,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.21464466,-0.2192983,-0.32325152,-0.13668763,-0.42746312,-0.52392609,-0.67737611,-0.68210122,-0.51011456
2668837_1233461,2668837,1233461,test,10,Mixed deciduous and coniferous woodland,-0.38881752,-0.54878168,-0.14049578,0.54603179,0.69021929,0.1797371,0.92294136,-0.57899096,0.61030939,0.66777188,0.80947969,2.40625166,1.76592284,2.08254183,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.4742687,-0.12727095,-0.40987475,2.08254183,-0.46240327,-0.33258322,-0.4880496,2.40625166,-0.27241302,0.85479407,-0.24799447,0.24558055,1.86814954,-0.82308942,1.27253504,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.13004082,0.38338474,-0.32325152,0.13487077,-0.33728028,-0.52392609,0.52940145,0.36583771,0.15521059
2683298_1246667,2683298,1246667,train,0,Surface standing waters,-0.35097995,-0.44692807,-0.21697352,0.79700961,0.87777061,0.35795171,1.09384358,-0.35401598,0.80418353,0.81671294,1.02851278,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,1.42908362,0.04550367,-0.40987475,-0.37988202,-0.70711288,-0.33258322,-0.4880496,-0.40593677,-0.27241302,0.54430162,0.83947681,0.71228975,-0.12580969,0.25337752,-0.8632718,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.22072242,-0.54336661,-0.32325152,-0.17680422,-0.96856018,-0.52392609,-0.34274565,-0.68210122,-0.90299202
2567189_1220248,2567189,1220248,train,8,Broadleaved deciduous woodland,0.17451057,0.75288019,-0.51162199,-0.20690167,-0.12250309,0.1797371,0.04469386,-0.21732232,-0.45466698,-0.03874341,0.35498945,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,2.34273415,2.02305127,-0.17106081,-0.26060936,-0.75228646,-0.12727095,-0.40987475,-0.37988202,0.57439271,-0.33258322,-0.4880496,-0.40593677,-0.27241302,0.24253087,-0.20350701,1.09187991,-0.40390875,-0.5813161,0.36422436,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.53651619,-0.70108046,-0.32325152,0.97299876,-0.29218886,-0.52392609,0.55838519,-0.06044253,-0.07972618
2739548_1223618,2739548,1223618,test,6,"Arctic, alpine and subalpine scrub",2.35454659,2.38304983,2.59210861,-0.95460642,-0.73204488,-1.00411712,-0.24489046,-0.34832041,-1.28899779,-1.24172891,-0.47907907,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,1.61084069,-0.75228646,-0.12727095,1.17793184,-0.37988202,1.10459686,1.0471397,-0.4880496,-0.40593677,-0.27241302,-0.87035781,1.00754056,0.02156013,-0.12712874,1.3212097,-0.90704581,-0.36108193,-0.30100988,1.0471397,4.28498401,1.61084069,-0.16070638,-0.26558029,-0.20383039,1.24192385,1.52932938,-0.32325152,-0.25395149,-0.56273739,0.01277027,-0.65102725,-0.68210122,-0.67792654
2778764_1143391,2778764,1143391,train,5,Alpine and subalpine grasslands,-0.90497515,-1.41888792,-0.62328163,-1.00689347,-1.9628504,-1.70742836,-0.46563915,1.9982541,0.42556471,-0.59631764,-1.27432294,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,2.58816965,-0.18593809,-0.17106081,-0.26060936,-0.30318086,-0.12727095,0.71778037,-0.37988202,0.50355571,-0.33258322,0.38938714,-0.40593677,-0.27241302,-0.08889366,-0.95320313,-0.23357424,-0.44018254,-0.24312127,1.0007714,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.11768715,-0.67168506,-0.3187646,-0.17680422,-0.72055736,-0.52392609,-0.90397626,-0.68210122,-0.91878609
2688892_1237744,2688892,1237744,train,13,Cultivated areas of gardens and parks,0.12299225,-0.04369354,0.33671245,0.69069262,0.86604865,0.30703325,1.04518392,-0.80681373,0.78922136,0.4806408,1.17965975,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.45288272,-0.12727095,-0.40987475,-0.37988202,0.09355979,-0.33258322,0.55054899,-0.40593677,-0.09987816,0.04542049,0.22489077,-0.30202492,1.13190153,0.06916927,-0.48936881,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.18918332,-0.68501052,0.46285669,-0.20149134,1.22964661,0.08277415,1.49903932,0.4546461,0.55006231
2496338_1117313,2496338,1117313,test,13,Cultivated areas of gardens and parks,-0.93529768,-0.6300769,-1.04637623,1.10201738,0.97154626,1.24902478,-0.36831984,0.37501688,0.72937271,1.30554515,0.82677057,-0.40593677,1.10828971,1.34033558,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,0.38117054,-0.12727095,-0.40987475,1.34033558,0.14293103,-0.33258322,0.87287269,-0.40593677,-0.27241302,-0.4517163,0.49181554,-0.60694161,1.22489433,0.21596022,-0.56232549,-0.36108193,3.56134885,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.13303732,-0.45132754,0.56067152,-0.2508656,-0.46128169,-0.52392609,-0.18992229,-0.68210122,-0.62659581
2623942_1176352,2623942,1176352,train,10,Mixed deciduous and coniferous woodland,0.81102126,0.60863023,1.24564987,-0.3620199,-0.22409339,-0.4010516,0.1716837,0.02473937,-0.96109817,-0.66124067,-0.10169067,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.38872478,-0.12727095,-0.40987475,-0.37988202,-1.08491017,-0.33258322,-0.4880496,-0.40593677,-0.27241302,1.22284973,-0.82962684,-0.45137187,-0.80423948,-1.47501392,1.84889282,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,1.44189088,-0.70905369,-0.32325152,0.00773206,0.99291665,2.02538164,0.11572443,0.71909773,0.55006231
2515834_1147348,2515834,1147348,val,7,Shrub plantations,-0.55591001,-0.02134375,-0.88489343,0.79352381,0.99303652,1.11377262,-1.24538052,-0.70429348,0.4010927,0.950378,0.93220391,-0.40593677,3.88610466,-0.37988202,8.9005907,7.76603354,-0.41691868,-0.18593809,-0.17106081,-0.26060936,0.27424063,-0.12727095,-0.40987475,-0.37988202,-1.01621975,-0.33258322,0.37148027,-0.40593677,-0.27241302,-1.05351347,0.72084358,0.02156013,1.74295,0.51242037,-0.81584996,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.10330452,-0.31554007,-0.19402825,-0.19223367,-0.95728732,-0.52392609,-0.90397626,-0.68210122,-0.88719795
2573607_1096386,2573607,1096386,test,6,"Arctic, alpine and subalpine scrub",-0.36737811,0.08093638,-0.81216986,-2.27921159,-1.706921,-1.50852812,-1.023445,-2.15096806,-1.7123763,-1.49378301,-2.05943863,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,0.75242628,-0.75228646,-0.12727095,1.98745756,-0.37988202,1.60260238,0.82308213,-0.4880496,-0.40593677,-0.27241302,-0.46741536,-2.10493408,-0.75006576,-0.95494059,2.04652967,-0.59697991,-0.36108193,-0.30100988,0.82308213,1.170413,0.75242628,6.48006655,3.1572036,0.79909388,0.51700169,1.57272204,-0.32325152,-0.182976,-1.04747017,-0.51225878,-0.90397626,-0.68210122,-0.95037422
2609798_1144618,2609798,1144618,train,11,"Inland cliffs, rock pavements and outcrops",0.644491,0.89286493,0.7768617,-0.80297399,-0.81605224,1.01989171,-0.25913231,1.07557189,-1.74470979,-1.60071506,-1.85787892,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,0.14460489,-0.75228646,-0.12727095,0.97626052,-0.37988202,0.07638719,1.82937577,-0.4880496,-0.40593677,-0.27241302,0.14310351,0.67965149,-0.52604534,-0.47315871,0.7599502,-0.00785471,3.00064975,-0.30100988,1.82937577,0.25234386,0.14460489,1.32147926,3.62532858,4.31897232,1.57417633,-0.70298704,-0.32325152,-0.00399432,1.00418951,-0.22057597,1.00895061,-0.52027261,-0.16856782
2681798_1240608,2681798,1240608,train,13,Cultivated areas of gardens and parks,-0.09698662,-0.27725735,0.12304673,0.62969107,0.78399495,0.25611479,0.97990876,-0.63025108,0.67015804,0.4768218,0.90921023,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,0.68057428,-0.12727095,-0.40987475,-0.37988202,0.21162144,-0.33258322,1.8398438,-0.40593677,-0.27241302,-0.40810781,0.26937823,-0.68783787,0.58394746,0.18429943,-0.55867766,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.17432591,-0.47397569,0.70245817,-0.26629505,-0.15691459,-0.52392609,1.67821153,-0.68210122,-0.40153033
2758328_1166156,2758328,1166156,test,5,Alpine and subalpine grasslands,-0.44878791,-1.27694118,0.10449042,-2.2931548,-2.0644407,-2.11159365,-1.10058836,-1.11722225,-1.23827859,-1.42122198,-1.99073131,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.1113199,-0.75228646,-0.12727095,3.58946635,-0.37988202,2.04050378,-0.22251985,-0.4880496,-0.40593677,-0.27241302,0.22857615,-0.85763747,-0.35180724,-1.02331119,1.09814503,-0.10634623,-0.36108193,-0.30100988,-0.22251985,0.1450928,-0.1113199,-0.07351899,-0.22910302,-0.20383039,-0.27768186,0.09980145,-0.32325152,-0.20766313,-1.27292727,-0.52392609,-0.90397626,-0.68210122,-0.95037422
2647334_1227622,2647334,1227622,test,16,Transport networks and other constructed hard-surfaced areas,-0.50709037,-0.38439985,-0.4016249,0.57566112,0.54760214,0.14473066,0.90039176,0.06745614,0.65443509,0.91218798,1.01172374,3.08759573,2.48520908,2.89432991,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,1.8995752,-0.12727095,-0.40987475,2.89432991,-1.19653209,0.29635031,-0.4880496,3.08759573,-0.27241302,0.3454469,-0.07993073,1.06076596,0.97691352,-0.51799452,0.14170648,-0.36108193,-0.30100988,0.29635031,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.28176684,-0.42971426,-0.32325152,-0.2508656,-0.54019168,-0.40141931,-0.46395038,-0.16898611,-0.34427683
2575915_1246285,2575915,1246285,test,8,Broadleaved deciduous woodland,-0.03915268,0.3314758,-0.4045746,0.40659967,0.40889231,0.10654181,0.37225644,0.39495137,-0.2634556,0.44626979,0.87508468,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,0.14592475,-0.12727095,-0.40987475,-0.37988202,-0.40229915,-0.33258322,-0.4880496,-0.40593677,-0.27241302,-0.64882668,0.59067657,-0.21490587,-0.46788252,0.29942958,-0.08445923,3.00064975,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.19298926,-0.53367349,-0.32325152,-0.15828887,1.16200948,-0.51809243,1.73617901,1.31510066,1.24500134
2513816_1153886,2513816,1153886,val,8,Broadleaved deciduous woodland,0.21039909,0.74707949,-0.11475292,0.40137097,0.62770218,3.8490487,-2.02393506,-0.66157672,0.01359802,0.15220667,0.72936677,-0.40593677,-0.40906174,-0.37215071,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.03431778,-0.26060936,-0.75228646,-0.12727095,-0.40987475,-0.37215071,-1.20082524,-0.33258322,-0.4880496,-0.40593677,-0.27241302,0.20589973,0.16722184,-0.50737697,-0.64045782,-0.53814229,0.47001155,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.07802908,-0.69564591,-0.32325152,-0.19531956,1.72565225,-0.52392609,3.31184054,2.45579502,2.19264547
2696793_1228598,2696793,1228598,test,0,Surface standing waters,0.21710828,0.00774509,0.53005204,0.73775096,0.99108286,0.35476931,1.11164589,-1.17987351,0.88685582,0.11019765,0.72389208,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.2133868,-0.18593809,-0.17106081,-0.26060936,2.2417509,0.52063389,-0.40987475,-0.37988202,-0.22413338,-0.23824319,0.64008335,-0.40593677,-0.27241302,2.28340822,0.39295451,-0.54471371,-0.74191451,-1.5167486,0.66517067,-0.36108193,-0.30100988,-0.23824319,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.17313242,-0.6776885,0.68720264,-0.30641164,-0.78819449,-0.51809243,-0.70899473,-0.68210122,-0.84771278
2641215_1267264,2641215,1267264,test,1,Surface running waters,-0.3816773,0.10618653,-0.7443267,0.99221458,0.88949256,1.22356555,0.82799568,0.42058143,0.58913413,0.81671294,0.95492386,-0.33227795,-0.37481002,-0.33349413,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.2497159,-0.12727095,-0.40987475,-0.33349413,-0.61910328,-0.33258322,-0.39851524,-0.33227795,-0.27241302,-0.24413989,0.52147385,1.03587481,2.4150044,0.51098124,-1.07302226,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.01316152,-0.61286778,-0.3133803,0.00464617,-0.94601447,-0.52392609,-0.87235763,-0.67420715,-0.73123152
2620681_1265257,2620681,1265257,train,1,Surface running waters,-1.02491592,-1.05122538,-0.97847945,1.07587386,0.97154626,0.58708479,0.86597395,0.59144851,0.54779798,1.6874453,1.10337912,-0.40593677,-0.27205484,-0.21752441,-0.16684413,-0.16352087,-0.41691868,0.07394301,0.10242524,-0.26060936,-0.23902291,1.23332921,-0.40987475,-0.21752441,-0.79726905,-0.33258322,-0.36270149,-0.40593677,0.91376414,-0.04354083,0.50664469,0.23935776,-0.0051169,0.18142117,-0.87239138,3.00064975,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.00975944,-0.71033112,-0.12403232,-0.18914778,-0.54019168,-0.52392609,-0.55617137,-0.68210122,-0.67397802
2685664_1226520,2685664,1226520,train,12,Arable land and market gardens,0.69241108,-0.04932364,1.25535707,0.46760122,0.63747048,-0.19419535,0.88258945,-0.81820487,0.64238928,-0.15713246,0.6623931,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,3.48610441,-0.18593809,-0.17106081,-0.26060936,-0.45288272,-0.12727095,-0.40987475,-0.37988202,1.28705578,-0.33258322,-0.4880496,-0.40593677,-0.25084616,1.49147803,-0.00248959,2.77203306,0.89908975,-1.70671336,1.36555481,-0.36108193,1.63016949,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.72108476,-0.70147001,-0.31966199,-0.24469382,0.15872536,-0.34891641,0.02086855,-0.11372756,-0.27517778
